,sentimen,before,after
222,netral,#UASdifitnahKejiDanBrutal tapi @prabowo @sandiuno siap sodaqohkan gaji nyaðŸ˜­ https://twitter.com/BangSjahrir/status/1117430313909493760Â â€¦,UASdifitnah Keji Dan Brutal tapi @prabowo @sandiuno siap sodaqohkan gaji nyaðŸ˜­ https://twitter.com/BangSjahrir/status/1117430313909493760Â â€¦
223,netral,"#JokowiJelasIslamnya #PilihOrangBaik #CoblosYangBajuPutih #BantenJokowiAmin #Banten01 Pengalaman @KHMarufAmin_ dalam ekonomi sudah malang merintang. Yakni dengan mendirikan koperasi, Baitul Mal wa Tamwil (BMT) sejenis koperasi syariah. @jokowi  pic.twitter.com/0hQUSxmAdI","Jokowi Jelas Islamnya Pilih Orang Baik Coblos Yang Baju Putih Banten Jokowi Amin Banten01 Pengalaman @KHMarufAmin_ dalam ekonomi sudah malang merintang. Yakni dengan mendirikan koperasi, Baitul Mal wa Tamwil (BMT) sejenis koperasi syariah. @jokowi pic.twitter.com/0hQUSxmAdI"
229,positif,"Kalo mau Listrik Turun, Kalo mau harga terjangkau, Kalo mau pelayanan BPJS baik, Kalo mau Honorer lebih baik  Dll maka #17April2019 Tusuk Prabowo Sandi (TPS).  #ClosingStatement #Debat5Pilpres2019","Kalo mau Listrik Turun, Kalo mau harga terjangkau, Kalo mau pelayanan BPJS baik, Kalo mau Honorer lebih baik Dll maka 17April2019 Tusuk Prabowo Sandi (TPS). Closing Statement Debat5Pilpres2019"
232,negatif,"Jangan berharap banyak terhadap prabowo untuk saling memahami ataupun menghargai sesama koalisi, bahkan surat kesepakatan untuk menjadikan AHY sebagai cawapres diingkari, apalagi terhadap rakyat, tidak ada kawan dalam politik, yang ada kepentingan sesaat, #selamatkanNKRI","Jangan berharap banyak terhadap prabowo untuk saling memahami ataupun menghargai sesama koalisi, bahkan surat kesepakatan untuk menjadikan AHY sebagai cawapres diingkari, apalagi terhadap rakyat, tidak ada kawan dalam politik, yang ada kepentingan sesaat, selamatkan NKRI"
240,netral,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat.   HYPERLINK "" https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦""  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]","Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat. HYPERLINK "" https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦"" https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]"
241,netral,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Kekompakan bermula dari persatuan, rasa saling menghargai, menghormati dan melengkapi. Dengan begitu pasti bangsa ini dapat berpikir maju kedepan. @jokowi @KHMarufAmin_","Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Kekompakan bermula dari persatuan, rasa saling menghargai, menghormati dan melengkapi. Dengan begitu pasti bangsa ini dapat berpikir maju kedepan. @jokowi @KHMarufAmin_"
242,negatif,@detikcom @jokowi Lahh dr games bisa beli mobil mewah. Beli rumah. Punya pendapatan. Dapet penghargaan. Kasih makan orng di rumah. Lw bilang gak berbobot? Lw balik aja k hidup jaman soeharto. Orbaaaa. Hiduppp cendana! #2019DKIJOIN,@detikcom @jokowi Lahh dr games bisa beli mobil mewah. Beli rumah. Punya pendapatan. Dapet penghargaan. Kasih makan orng di rumah. Lw bilang gak berbobot? Lw balik aja k hidup jaman soeharto. Orbaaaa. Hiduppp cendana! 2019DKIJOIN
244,netral,"Tax Ratio 10, xx % dan ada tax amnesty saja para pengusaha dan pelaku ekonomi sdh berat dan teriak apalagi 16, xx %. Apa yg sudah dijalankan pemerintah jokowi dibidang pajak sudah efektif sekali terbukti dengan tembus target penerimaan pajak 100% pada thn 2018 #DebatPilpres2019","Tax Ratio 10, xx % dan ada tax amnesty saja para pengusaha dan pelaku ekonomi sdh berat dan teriak apalagi 16, xx %. Apa yg sudah dijalankan pemerintah jokowi dibidang pajak sudah efektif sekali terbukti dengan tembus target penerimaan pajak 100% pada thn 2018 Debat Pilpres2019"
252,positif,"Prabowo-Sandi memang pasangan yang harmonis, tahu diri dan mengerti posisinya masing-masing ðŸ‘. Bukan pencintraan, bukan kepura-puraan, mereka saling menghargai satu sama lain ðŸ˜˜. Beda dengan pasangan Goal Getter dan Boneka.  #UASdifitnahKejiDanBrutal https://twitter.com/AkunTofa/status/1117297319966199808Â â€¦","Prabowo-Sandi memang pasangan yang harmonis, tahu diri dan mengerti posisinya masing-masing ðŸ‘. Bukan pencintraan, bukan kepura-puraan, mereka saling menghargai satu sama lain ðŸ˜˜. Beda dengan pasangan Goal Getter dan Boneka. UASdifitnah Keji Dan Brutal https://twitter.com/AkunTofa/status/1117297319966199808Â â€¦"
254,positif,"Yg biasa ngemplang pajak, korupsi maen proyek, mafia impor keknya udh pd meriang takut Prabowo menang.. #TusukPrabowoSandi #UASdifitnahKejiDanBrutal","Yg biasa ngemplang pajak, korupsi maen proyek, mafia impor keknya udh pd meriang takut Prabowo menang.. Tusuk Prabowo Sandi UASdifitnah Keji Dan Brutal"
258,positif,"Pak @jokowi kalau bapak jadi boleh tidak saya minta 1 permintaan kecil saja? Tolong hapus kan ""denda"" dari telat bayar (listrik, air, tlp, pajak, bpjs, dll yg kebutuhan inti rakyat), karena denda itu jujur wlwpun kecil nilainya tapi berat untuk kami. #terimakasih","Pak @jokowi kalau bapak jadi boleh tidak saya minta 1 permintaan kecil saja? Tolong hapus kan ""denda"" dari telat bayar (listrik, air, tlp, pajak, bpjs, dll yg kebutuhan inti rakyat), karena denda itu jujur wlwpun kecil nilainya tapi berat untuk kami. terimakasih"
259,positif,"Memiliki pemikiran yang cemerlang untuk kemajuan ekonomi Indonesia melalui konsep ekonomi keumatan, K.H. Maâ€™ruf Amin sangat cocok mendampingi Jokowi maju di pilpres 2019.   #PilihOrangBaik #PilihjelasIslamnya #PilihBajuPutih","Memiliki pemikiran yang cemerlang untuk kemajuan ekonomi Indonesia melalui konsep ekonomi keumatan, K.H. Maâ€™ruf Amin sangat cocok mendampingi Jokowi maju di pilpres 2019. Pilih Orang Baik Pilihjelas Islamnya Pilih Baju Putih"
262,positif,PS bilang didebat keadaan ekonomi Indonesia saat ini bukan salah @jokowi tp salah pemimpin2 terdahulu. Jd utk penggemar 02 jangan salahkan Jokowi lagi ya krn bosmu udah bilang itu bukan salah Jokowi.  Semakin mantap pilih @jokowi. #PrabowoSalahkanSBY,PS bilang didebat keadaan ekonomi Indonesia saat ini bukan salah @jokowi tp salah pemimpin2 terdahulu. Jd utk penggemar 02 jangan salahkan Jokowi lagi ya krn bosmu udah bilang itu bukan salah Jokowi. Semakin mantap pilih @jokowi. Prabowo Salahkan SBY
272,positif,"Do u want to test ur Vice President, sir? ðŸ˜  Saat ini hanya @prabowo @sandiuno solusi utk Indonesia. Mau harga bhn pokok terjangkau, lapangan kerja tersedia, kesejahteraan dan status guru lbh baik, tenaga medis & pasien di perbaiki, maka #TusukPrabowoSandi ðŸ¤—ðŸ¤—ðŸ¤—ðŸ¤—ðŸ˜ðŸ˜ðŸ˜ðŸ˜","Do u want to test ur Vice President, sir? ðŸ˜ Saat ini hanya @prabowo @sandiuno solusi utk Indonesia. Mau harga bhn pokok terjangkau, lapangan kerja tersedia, kesejahteraan dan status guru lbh baik, tenaga medis & pasien di perbaiki, maka Tusuk Prabowo Sandi ðŸ¤—ðŸ¤—ðŸ¤—ðŸ¤—ðŸ˜ðŸ˜ðŸ˜ðŸ˜"
285,netral,Jokowi dan Salman sepakati peningkatan kerja sama ekonomi - ANTARA News Jawa Barat  https://jabar.antaranews.com/berita/92587/jokowi-dan-salman-sepakati-peningkatan-kerja-sama-ekonomi#.XLNN83UWAlo.twitterÂ â€¦,Jokowi dan Salman sepakati peningkatan kerja sama ekonomi - ANTARA News Jawa Barat https://jabar.antaranews.com/berita/92587/jokowi-dan-salman-sepakati-peningkatan-kerja-sama-ekonomi#.XLNN83UWAlo.twitterÂ â€¦
293,netral,"Hanya di era Pak Jokowi, harga BBM di Papua sama dengan harga di Jawa. #01IndonesiaMaju #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih","Hanya di era Pak Jokowi, harga BBM di Papua sama dengan harga di Jawa. 01Indonesia Maju Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih"
294,netral,"Kalimat penutup debat terakhir @prabowo @sandiuno ""Tidak akan mengambil gaji serupiah pun dan akan diinfaqkan ke kaum du'afa serta anak yatim,""  #beranidukung02 #17AprilPilihPrabowoSandi","Kalimat penutup debat terakhir @prabowo @sandiuno ""Tidak akan mengambil gaji serupiah pun dan akan diinfaqkan ke kaum du'afa serta anak yatim,"" beranidukung02 17April Pilih Prabowo Sandi"
299,positif,"Pasangan nomor 01 ini akan terus memperjuangkan nilai Islam sebagai spirit transformasi dan perdamaian di semua bidang terutama pendidikan, dakwah, ekonomi dan kesehatan. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih","Pasangan nomor 01 ini akan terus memperjuangkan nilai Islam sebagai spirit transformasi dan perdamaian di semua bidang terutama pendidikan, dakwah, ekonomi dan kesehatan. Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih"
305,netral,Bandara KERTAJATI selesai ditangan JOKOWI sehingga menggerakan ekonomi rakyat. #01IndonesiaMaju #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih,Bandara KERTAJATI selesai ditangan JOKOWI sehingga menggerakan ekonomi rakyat. 01Indonesia Maju Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih
306,positif,"Negara China sebentar lagi jadi negara adikuasa ekonomi, supaya kita tidak hanya jadi obyek kemajuan ekonomi mereka, kita perlu contoh kiat-kiat dan strategi yang mereka tempuh.   #UASdifitnahKejiDanBrutal","Negara China sebentar lagi jadi negara adikuasa ekonomi, supaya kita tidak hanya jadi obyek kemajuan ekonomi mereka, kita perlu contoh kiat-kiat dan strategi yang mereka tempuh. UASdifitnah Keji Dan Brutal"
307,positif,"Terima kasih pak, kekurangan selama bpk menjabat Insya Allah akan disempurnakan pak @prabowo dan bang @sandiuno di 2019-2024. Krn kedepan negara harus fokus perbaiki ekonomi rakyat dan cicil bayar hutang #UASdifitnahKejiDanBrutal","Terima kasih pak, kekurangan selama bpk menjabat Insya Allah akan disempurnakan pak @prabowo dan bang @sandiuno di 2019-2024. Krn kedepan negara harus fokus perbaiki ekonomi rakyat dan cicil bayar hutang UASdifitnah Keji Dan Brutal"
311,positif,"Dengan mencoblos pak prabowo dan bang sandi anda telah membantu beramal,karena selama 5tahun beliau akan memberikan gajinnya kepada kaum dhuafa,anak yatim dll yg membutuhkan #2019PrabowoSandiMenang","Dengan mencoblos pak prabowo dan bang sandi anda telah membantu beramal,karena selama 5tahun beliau akan memberikan gajinnya kepada kaum dhuafa,anak yatim dll yg membutuhkan 2019Prabowo Sandi Menang"
312,netral,"Presiden Joko Widodo (Jokowi) mengatakan, terkendalinya harga-harga komoditas pangan inti bisa dilihat dari tingkat inflasi. #2019JokowiKyaiMaruf #JokowiUntukIndonesiaMakmur #JalanSehatSarungan #PersijaDay  https://twitter.com/tag_nusantara/status/1058886381265608704/photo/1 pic.twitter.com/7oeqsQ40qbÂ ","Presiden Joko Widodo (Jokowi) mengatakan, terkendalinya harga-harga komoditas pangan inti bisa dilihat dari tingkat inflasi. 2019Jokowi Kyai Maruf Jokowi Untuk Indonesia Makmur Jalan Sehat Sarungan Persija Day https://twitter.com/tag_nusantara/status/1058886381265608704/photo/1 pic.twitter.com/7oeqsQ40qbÂ"
313,positif,Di era pak jokowi kemjuan teknologi mampu dimanfaatkan terutama untuk pengembangan ekonomi kreatif  #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih,Di era pak jokowi kemjuan teknologi mampu dimanfaatkan terutama untuk pengembangan ekonomi kreatif Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih
316,positif,"Bersedekah yuk!!!! Dengan cara mencoblos #02 @prabowo dan @sandiuno sama aja anda sudah beramal, karena gaji mereka akan diberikan kepada anak yatim dan dhuafa. Bersedekah yuk!!! #saveUAS","Bersedekah yuk!!!! Dengan cara mencoblos 02 @prabowo dan @sandiuno sama aja anda sudah beramal, karena gaji mereka akan diberikan kepada anak yatim dan dhuafa. Bersedekah yuk!!! save UAS"
318,negatif,Artinya Anda Sudah Gagal pak. 5 Tahun Ngapain aja kalo stagnan di 5%.. kenapa pas debat malah bahas mobile legend bukan ekonomi Indonesia ...!? #UASdifitnahKejiDanBrutal,Artinya Anda Sudah Gagal pak. 5 Tahun Ngapain aja kalo stagnan di 5%.. kenapa pas debat malah bahas mobile legend bukan ekonomi Indonesia ...!? UASdifitnah Keji Dan Brutal
319,netral,"Hal ini terlihat sekali dalam langkah pemerintahan Presiden Jokowi melakukan pemberdayaan ekonomi keumatan melalui bank wakaf mikro,"" kata Ketum Arus Baru Muslimah, Munifah Syanwani. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih","Hal ini terlihat sekali dalam langkah pemerintahan Presiden Jokowi melakukan pemberdayaan ekonomi keumatan melalui bank wakaf mikro,"" kata Ketum Arus Baru Muslimah, Munifah Syanwani. Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih"
320,netral,Sederet menteri kabinet kerja Presiden @jokowi dan Wakil Presiden Jusuf Kalla  di bidang ekonomi meraih penghargaan internasional dalam kurun waktu kurang dari empat tahun kabinet berjalan.Â  #PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih pic.twitter.com/AnAglLw6R8,Sederet menteri kabinet kerja Presiden @jokowi dan Wakil Presiden Jusuf Kalla di bidang ekonomi meraih penghargaan internasional dalam kurun waktu kurang dari empat tahun kabinet berjalan.Â Pilih Orang Baik Pilih Yg Jelas Islamnya Pilih Yg Baju Putih pic.twitter.com/AnAglLw6R8
325,netral,#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Salah satu keberhasilan @jokowi adalah membuat BBM menjadi satu harga di di 25 titik wilayah dari target 54 titik wilayah di seluruh Indonesia.  https://bit.ly/2SV4EUfÂ ,Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Salah satu keberhasilan @jokowi adalah membuat BBM menjadi satu harga di di 25 titik wilayah dari target 54 titik wilayah di seluruh Indonesia. https://bit.ly/2SV4EUfÂ
326,positif,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Beberapa penghargaan yg dianugerahkan kepadanya, jadi bukti bahwa @jokowi merupakan sosok pemimpin yg diakui integritasnya.","Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih Beberapa penghargaan yg dianugerahkan kepadanya, jadi bukti bahwa @jokowi merupakan sosok pemimpin yg diakui integritasnya."
328,netral,"Disaksikan Sandiwara, @jokowi Dapat Penghargaan Tokoh Pemerataan Pembangunan #PilihOrangBaik #PilihYgJelasIslamnya #PilihYgBajuPutih https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦","Disaksikan Sandiwara, @jokowi Dapat Penghargaan Tokoh Pemerataan Pembangunan Pilih Orang Baik Pilih Yg Jelas Islamnya Pilih Yg Baju Putih https://nasional.kompas.com/read/2018/09/24/22563621/disaksikan-sandiaga-jokowi-dapat-penghargaan-tokoh-pemerataan-pembangunanÂ â€¦"
333,positif,"Jelas Prabowo-Sandi dong. Paslon 02 pemaparan visi misi nya lebih jelas dan pro rakyat. Hubungan ke 2 nyapun sangat harmonis, Dwi Tunggal. Dan ke 2 nya, akan menyumbangkan gajinya. Maklum ke 2 nya sama2 tajir.  #DebatPilpres2019 #17AprilTusukPrabowoSandi","Jelas Prabowo-Sandi dong. Paslon 02 pemaparan visi misi nya lebih jelas dan pro rakyat. Hubungan ke 2 nyapun sangat harmonis, Dwi Tunggal. Dan ke 2 nya, akan menyumbangkan gajinya. Maklum ke 2 nya sama2 tajir. Debat Pilpres2019 17April Tusuk Prabowo Sandi"
334,negatif,Kalau pernyataan bahwa @prabowo  dan @sandiuno  tdk akan ambil gaji di beritakan juga lah #UASdifitnahKejiDanBrutal https://twitter.com/Metro_TV/status/1117108862450978816Â â€¦,Kalau pernyataan bahwa @prabowo dan @sandiuno tdk akan ambil gaji di beritakan juga lah UASdifitnah Keji Dan Brutal https://twitter.com/Metro_TV/status/1117108862450978816Â â€¦
335,negatif,Ngajarin ekonomi mikro sama makro ke pengusaha top kaya pak prabowo dan bang sandi ibarat ngajarin ikan berenang... Padahal udah jago #UASdifitnahKejiDanBrutal,Ngajarin ekonomi mikro sama makro ke pengusaha top kaya pak prabowo dan bang sandi ibarat ngajarin ikan berenang... Padahal udah jago UASdifitnah Keji Dan Brutal
337,negatif,Yg suka bilang sebentar lagi ekonomi meroket siapa pak @jokowi ??? Katanya sih capres 2014 itu.. #UASdifitnahKejiDanBrutal,Yg suka bilang sebentar lagi ekonomi meroket siapa pak @jokowi ??? Katanya sih capres 2014 itu.. UASdifitnah Keji Dan Brutal
340,negatif,Percuma infrastruktur bagus kalo roda perekonomian yg jalan cuman nguntungin asing ama aseng   Saya pilih pemimpin yg pro rakyat pribumi aja deh yaaa #GantiPresiden,Percuma infrastruktur bagus kalo roda perekonomian yg jalan cuman nguntungin asing ama aseng Saya pilih pemimpin yg pro rakyat pribumi aja deh yaaa Ganti Presiden
358,positif,Ucapan Pak @prabowo dan Bang @sandiuno yang akan menyumbangkan seluruh gajinya jika terpilih semakin memantapkan kami untuk  menentukan pilihan kpd #PrabowoSandi #TusukPrabowoSandi #UASdifitnahKejiDanBrutal,Ucapan Pak @prabowo dan Bang @sandiuno yang akan menyumbangkan seluruh gajinya jika terpilih semakin memantapkan kami untuk menentukan pilihan kpd Prabowo Sandi Tusuk Prabowo Sandi UASdifitnah Keji Dan Brutal
359,netral,Prabowo-Sandi Tak Akan Ambil Gaji Sepeser pun Jika Terpilih   https://kumparan.com/@kumparannews/prabowo-sandi-tak-akan-ambil-gaji-sepeser-pun-jika-terpilih-1qsh5p8XjqeÂ â€¦ #UASdifitnahKejiDanBrutal,Prabowo-Sandi Tak Akan Ambil Gaji Sepeser pun Jika Terpilih https://kumparan.com/@kumparannews/prabowo-sandi-tak-akan-ambil-gaji-sepeser-pun-jika-terpilih-1qsh5p8XjqeÂ â€¦ UASdifitnah Keji Dan Brutal
361,positif,"Capres kaleng2 selalu hoax, harga2 melambung Faktanya harga stabil, inflasi normal dan grafik menurun. Mengelola OkE Oce gagal mau ngomongin ekonomi makro!? Di libas lu ma @jokowi  Akhirnya sikaleng2 itu bilang..  #bukansalahbapak @NasrRudi pic.twitter.com/5k5LyrNGwn","Capres kaleng2 selalu hoax, harga2 melambung Faktanya harga stabil, inflasi normal dan grafik menurun. Mengelola OkE Oce gagal mau ngomongin ekonomi makro!? Di libas lu ma @jokowi Akhirnya sikaleng2 itu bilang.. bukansalahbapak @NasrRudi pic.twitter.com/5k5LyrNGwn"
368,positif,"Bentar dulu, awalnya narasi elo kan pembangunan terutama tol, kok lari sekarang bahas ekonomi dan temennya, ayo belajar konsisten tema yg elo singgung wkwkwkwk  #17AprilCoblosJokowiAmin #17AprilCoblosBajuPutih","Bentar dulu, awalnya narasi elo kan pembangunan terutama tol, kok lari sekarang bahas ekonomi dan temennya, ayo belajar konsisten tema yg elo singgung wkwkwkwk 17April Coblos Jokowi Amin 17April Coblos Baju Putih"
375,netral,Pertama kalinya di Indonesia baru di era kepemimpinan Jokowi harga BBM merata di seluruh Indonesia. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih,Pertama kalinya di Indonesia baru di era kepemimpinan Jokowi harga BBM merata di seluruh Indonesia. Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih
377,positif,Kebijakan Jokowi untuk BBM satu harga merupakan bentuk nyata keadilan sosial bagi rakyat Indonesia. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih,Kebijakan Jokowi untuk BBM satu harga merupakan bentuk nyata keadilan sosial bagi rakyat Indonesia. Pilih Orang Baik Pilih Jelas Islamnya Pilih Baju Putih
380,positif,"Ada yg mencoba menarik simpati dgn cara menjadi korban hacker, agar di kasihani dan didukung.. kami tetap menduking bapak @jokowi yg hasil kerja nyata nya sdh terbukti bukan hanya janji ini murah, itu murah, gak ambil gaji lah Ini 2019 bung, bukan jaman orba. #CoblosPutihJokowi","Ada yg mencoba menarik simpati dgn cara menjadi korban hacker, agar di kasihani dan didukung.. kami tetap menduking bapak @jokowi yg hasil kerja nyata nya sdh terbukti bukan hanya janji ini murah, itu murah, gak ambil gaji lah Ini 2019 bung, bukan jaman orba. Coblos Putih Jokowi"
381,netral,"Gara-gara ketimpangan ekonomi, Prabowo Salahkan Para Presiden Sebelum Jokowi. #01JOKOWIAMIN #JokowiMenangTotalDebat @JKFC23456789 @Paltiwest @AlvinoLulu @katerinaKwari https://nasional.kompas.com/read/2019/04/13/21502121/saat-prabowo-salahkan-para-presiden-sebelum-jokowi-soal-perekonomian-negaraÂ â€¦","Gara-gara ketimpangan ekonomi, Prabowo Salahkan Para Presiden Sebelum Jokowi. 01JOKOWIAMIN Jokowi Menang Total Debat @JKFC23456789 @Paltiwest @AlvinoLulu @katerinaKwari https://nasional.kompas.com/read/2019/04/13/21502121/saat-prabowo-salahkan-para-presiden-sebelum-jokowi-soal-perekonomian-negaraÂ â€¦"
382,netral,#PopulerB1 10: Jokowi: Naikkan Tax Ratio Drastis Bisa Guncang Ekonomi  http://brt.st/6b4KÂ ,Populer B1 10: Jokowi: Naikkan Tax Ratio Drastis Bisa Guncang Ekonomi http://brt.st/6b4KÂ
389,netral,"â€œUang sebesar itu dapat digunakan untuk membangun sekolah, membangun rumah sakit, meningkatkan kesejahteraaan rakyat melalui program ekonomi produktif dan perlindungan sosial, serta membangun lebih banyak lagi infrastruktur,"" tegas Jokowi. #PilihOrangBaik #PilihJelasIslamnya","â€œUang sebesar itu dapat digunakan untuk membangun sekolah, membangun rumah sakit, meningkatkan kesejahteraaan rakyat melalui program ekonomi produktif dan perlindungan sosial, serta membangun lebih banyak lagi infrastruktur,"" tegas Jokowi. Pilih Orang Baik Pilih Jelas Islamnya"
397,netral,"Pasca dilantik menjadi Presiden, Joko Widodo (Jokowi) tidak membuang waktu. Dengan agenda utama reformasi ekonomi, konektivitas antar wilayah dan produktivitas #pilihorangbaik","Pasca dilantik menjadi Presiden, Joko Widodo (Jokowi) tidak membuang waktu. Dengan agenda utama reformasi ekonomi, konektivitas antar wilayah dan produktivitas pilihorangbaik"
398,netral,Capres #01 @jokowi: Nasabah usaha mikro di pesantren hampir 90 persen adalah wanita. Kami meyakini program kita bisa memberikan kemandirian bagi ekonomi keluarga.  #DebatPilpres2019 pic.twitter.com/f5XAZfXLGR,Capres 01 @jokowi: Nasabah usaha mikro di pesantren hampir 90 persen adalah wanita. Kami meyakini program kita bisa memberikan kemandirian bagi ekonomi keluarga. Debat Pilpres2019 pic.twitter.com/f5XAZfXLGR
399,positif,"mahal ini! kelassss! masyaallah.... ""BILA TERPILIH PRABOWO-SANDI JANJI TAK AMBIL GAJI"" #Catatan https://twitter.com/RanupsProSandi/status/1117414932142628864Â â€¦","mahal ini! kelassss! masyaallah.... ""BILA TERPILIH PRABOWO-SANDI JANJI TAK AMBIL GAJI"" Catatan https://twitter.com/RanupsProSandi/status/1117414932142628864Â â€¦"
402,netral,"Pemerintah Jokowi begitu bersemangat untuk memastikan berjalannya pembangkit listrik #PLTUCilacap demi memasok aliran listrik untuk rumah tangga, industri dan ekonomi Indonesia lebih baik. #JokowiMembangun #2019PilihJokowi #JokowiOrangBaik #JokowiLagi pic.twitter.com/qBCVOeHVHG","Pemerintah Jokowi begitu bersemangat untuk memastikan berjalannya pembangkit listrik PLTUCilacap demi memasok aliran listrik untuk rumah tangga, industri dan ekonomi Indonesia lebih baik. Jokowi Membangun 2019Pilih Jokowi Jokowi Orang Baik Jokowi Lagi pic.twitter.com/qBCVOeHVHG"
404,netral,#JokowiMenangTotalDebat 3 kartu Jokowi jadi jurus jitu program untuk kesejahteraan dan peningkatan ekonomi Indonesia #01ndonesiaMaju,Jokowi Menang Total Debat 3 kartu Jokowi jadi jurus jitu program untuk kesejahteraan dan peningkatan ekonomi Indonesia 01ndonesia Maju
405,negatif,"Nah kan, buanyak beeng yg nyinyirin ttg janji Pak @prabowo dan Bang @sandiuno gak akan ambil gaji. Miris liat kelakuan orang2 yg jempolnya loncer kek gini. Gak tau ya, nyinyirin orang shodaqoh itu ciri2 munafiqun? Lihat At Tawbah : 79  #UASdifitnahKejiDanBrutal","Nah kan, buanyak beeng yg nyinyirin ttg janji Pak @prabowo dan Bang @sandiuno gak akan ambil gaji. Miris liat kelakuan orang2 yg jempolnya loncer kek gini. Gak tau ya, nyinyirin orang shodaqoh itu ciri2 munafiqun? Lihat At Tawbah : 79 UASdifitnah Keji Dan Brutal"
406,negatif,Inilah kelakuan para jongos2nya si @jokowi terus menebar kebencian sehingga akhirnya kini mayoritas rakyat dmn2 menginginkan ganti presiden.. dan itu harga mati !! Mo curang silahkan berarti siap2 di gulingkan !!  #PeoplePower #Chaos,Inilah kelakuan para jongos2nya si @jokowi terus menebar kebencian sehingga akhirnya kini mayoritas rakyat dmn2 menginginkan ganti presiden.. dan itu harga mati !! Mo curang silahkan berarti siap2 di gulingkan !! People Power Chaos
413,positif,Apalagi utk ikut pak @prabowo  dan bang @sandiuno  tdk mengambil gajinyaðŸ˜Ž #UASdifitnahKejiDanBrutal https://twitter.com/geloraco/status/1117396723255562240Â â€¦,Apalagi utk ikut pak @prabowo dan bang @sandiuno tdk mengambil gajinyaðŸ˜Ž UASdifitnah Keji Dan Brutal https://twitter.com/geloraco/status/1117396723255562240Â â€¦
421,negatif,"Kata Wowo kesalahan arah ekonomi yang mengakibatkan terjadinya deindustrialisasi adalah salah semua pihak. Termasuk presiden-presiden sebelum Jokowi. Lah, ekonomi Indonesia masa Pak Jokowi baik-baik aja tuh.Malah ngehoaks dengan menyalahkan Presiden terdahulu. #PrabowoSalahkanSBY","Kata Wowo kesalahan arah ekonomi yang mengakibatkan terjadinya deindustrialisasi adalah salah semua pihak. Termasuk presiden-presiden sebelum Jokowi. Lah, ekonomi Indonesia masa Pak Jokowi baik-baik aja tuh.Malah ngehoaks dengan menyalahkan Presiden terdahulu. Prabowo Salahkan SBY"
426,positif,Semoga president yang terpilih nanti bisa menurunkan harga tiket pesawat @jokowi @prabowo #01 #02 #dilemapengenjalanjalan,Semoga president yang terpilih nanti bisa menurunkan harga tiket pesawat @jokowi @prabowo 01 02 dilemapengenjalanjalan
428,positif,Dengan memilih prabowo sandi anda akan beramal selama 5 th Karena gaji mereka akan disumbangkan untuk kaum dhuafa dan anak yatim Aamiin... ðŸ‘†ðŸ‘† #TheGreatCampaignOfPrabowo,Dengan memilih prabowo sandi anda akan beramal selama 5 th Karena gaji mereka akan disumbangkan untuk kaum dhuafa dan anak yatim Aamiin... ðŸ‘†ðŸ‘† The Great Campaign Of Prabowo
430,positif,"Bapak Jokowi, 2 Periode. HARGA MATI #photoshop #JohnWick pic.twitter.com/fKpeg7NHX2","Bapak Jokowi, 2 Periode. HARGA MATI photoshop John Wick pic.twitter.com/fKpeg7NHX2"
